Method,Layer,Case_ID,X_Signal,Y_Noise,Norm_Delta
TRIM (Ours),15,0,0.03612624481320381,0.24012185803246158,0.2428242415189743
TRIM (Ours),16,0,0.057206422090530396,0.4172675322998633,0.421170711517334
TRIM (Ours),12,0,0.013802123256027699,0.11035553696378582,0.11121530085802078
TRIM (Ours),13,0,0.013460339978337288,0.14448624553817882,0.14511187374591827
TRIM (Ours),14,0,0.011783153750002384,0.1823842643615256,0.18276450037956238
TRIM (Ours),15,0,0.0030059185810387135,0.22851601707545996,0.22853578627109528
TRIM (Ours),16,0,0.01688668131828308,0.4352023335577685,0.43552982807159424
TRIM (Ours),12,0,0.003173989476636052,0.10342331700166478,0.10347200930118561
TRIM (Ours),13,0,0.0024211702402681112,0.12611306378031095,0.12613630294799805
TRIM (Ours),14,0,0.0005773658631369472,0.16159358294004325,0.16159461438655853
TRIM (Ours),15,0,0.015686005353927612,0.2213097980766192,0.2218649983406067
TRIM (Ours),16,0,0.009184638038277626,0.39089703234080275,0.39100492000579834
TRIM (Ours),12,0,0.023188196122646332,0.10532609459378231,0.1078484058380127
TRIM (Ours),13,0,0.015321046113967896,0.12249217094566768,0.12344661355018616
TRIM (Ours),14,0,0.00843548309057951,0.17266125600021115,0.17286719381809235
TRIM (Ours),15,0,0.020827766507864,0.2207569530248149,0.22173729538917542
TRIM (Ours),16,0,0.00336459674872458,0.4192217874977671,0.4192352890968323
TRIM (Ours),12,0,0.009098023176193237,0.1173799785073189,0.11773204058408737
TRIM (Ours),13,0,0.013924254104495049,0.135855693997406,0.1365673989057541
TRIM (Ours),14,0,0.017747746780514717,0.18883481906581312,0.1896670013666153
TRIM (Ours),15,0,0.014088168740272522,0.24436036851772128,0.24476614594459534
TRIM (Ours),16,0,0.0037711074110120535,0.43146669951959465,0.4314831793308258
TRIM (Ours),12,0,0.019707834348082542,0.1070742706417621,0.10887285321950912
TRIM (Ours),13,0,0.01615632139146328,0.13475808325116584,0.13572312891483307
TRIM (Ours),14,0,0.02253234013915062,0.16736865035100362,0.16887857019901276
TRIM (Ours),15,0,0.034186094999313354,0.21811633988208887,0.22077913582324982
TRIM (Ours),16,0,0.04992369934916496,0.37177482814229906,0.375111848115921
